age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,datasetType
44,9,1,1,0,854,1,0,0,9,0,758,3,-1,0,3,1,1
43,4,1,2,0,3764,1,0,2,26,8,123,11,-1,0,3,0,1
35,9,1,1,0,2688,0,0,2,10,8,143,1,-1,0,3,0,1
40,0,1,1,0,8,0,0,0,29,1,306,1,-1,0,3,1,1
33,1,1,1,0,376,1,0,0,12,8,326,1,312,1,0,0,1
45,9,2,1,0,749,1,0,0,9,8,143,1,818,1,0,0,1
38,7,0,1,0,894,0,0,0,11,8,730,1,-1,0,3,1,1
35,0,1,0,0,-297,1,0,2,13,8,709,1,-1,0,3,1,1
36,6,1,1,0,277,1,0,0,25,8,106,4,-1,0,3,0,1
36,7,1,1,0,197,1,0,0,9,0,402,1,-1,0,3,0,1
38,9,1,1,0,618,0,0,0,12,11,438,2,368,2,2,1,1
48,4,2,2,0,1329,1,0,2,7,8,339,1,-1,0,3,0,1
38,5,1,2,0,1047,0,0,0,6,0,554,1,-1,0,3,1,1
38,9,1,0,0,5045,0,1,0,20,9,22,17,-1,0,3,0,1
39,4,1,2,0,0,0,0,0,21,10,234,2,182,5,2,1,1
34,7,1,1,0,11220,0,0,0,12,9,695,1,78,0,3,0,1
32,1,1,0,0,1055,1,0,0,25,4,112,2,-1,0,3,0,1
26,4,1,2,0,0,0,0,0,26,5,165,18,-1,0,3,0,1
41,4,1,0,0,259,0,1,0,19,0,662,1,-1,0,3,0,1
37,1,0,2,0,1665,0,0,2,27,3,648,1,-1,0,3,0,1
26,1,1,1,0,446,1,0,0,23,8,205,2,-1,0,3,0,1
53,4,1,1,0,0,1,0,0,19,8,219,1,-1,0,3,0,1
38,1,1,2,0,896,0,0,0,18,1,362,1,-1,0,3,0,1
49,9,2,1,0,37,1,0,0,10,8,1047,1,-1,0,3,1,1
35,1,1,1,0,1011,1,0,0,25,8,262,2,-1,0,3,0,1
30,10,2,1,0,929,0,0,0,19,3,1656,1,-1,0,3,1,1
47,1,1,1,0,16346,0,0,0,11,9,206,3,-1,0,3,0,1
31,4,2,2,0,7,1,0,0,4,8,104,2,-1,0,3,0,1
34,4,1,1,0,1072,1,0,0,16,8,1150,2,-1,0,3,0,1
28,0,2,1,0,1166,0,0,0,16,6,432,6,-1,0,3,0,1
30,0,1,2,0,88,1,1,0,7,5,188,2,-1,0,3,0,1
32,4,1,1,0,613,0,0,0,6,1,76,2,-1,0,3,0,1
38,0,2,0,0,1574,1,0,2,15,6,16,5,-1,0,3,0,1
35,7,0,2,0,83,0,0,0,19,1,1155,2,-1,0,3,1,1
43,9,1,1,0,1455,0,0,0,19,8,1023,1,171,1,3,1,1
36,4,1,1,0,481,0,0,0,21,7,211,2,18,0,2,1,1
42,4,1,2,0,1,0,0,0,8,3,247,1,125,2,2,1,1
28,7,1,1,0,179,1,0,0,5,8,230,3,-1,0,3,0,1
55,0,1,1,0,3,0,0,2,10,5,44,1,-1,0,3,0,1
34,6,2,1,0,11363,0,0,0,28,8,207,1,-1,0,3,0,1
47,7,1,2,0,403,0,0,0,8,5,995,2,-1,0,3,1,1
30,4,1,2,0,444,1,0,0,8,8,60,1,351,1,1,0,1
45,4,1,2,0,15,0,0,0,30,1,59,2,-1,0,3,0,1
47,7,1,1,0,184,1,0,0,13,8,61,2,354,3,0,0,1
46,4,1,1,0,356,1,0,0,11,9,175,2,-1,0,3,0,1
52,1,1,1,0,483,1,0,0,3,8,288,2,-1,0,3,0,1
53,8,1,0,0,2961,0,0,2,20,6,84,1,-1,0,3,0,1
43,1,2,1,0,13888,1,0,2,11,6,31,1,2,0,3,0,1
44,1,1,1,0,296,1,0,2,12,6,638,13,-1,0,3,0,1
29,4,2,2,0,39,0,0,0,12,0,113,2,0,3,3,1,1
48,0,1,1,0,340,1,0,0,26,5,256,2,-1,0,3,0,1
22,5,1,2,0,690,0,0,0,19,8,338,1,-1,0,3,1,1
57,1,1,0,0,625,1,0,2,21,8,161,1,-1,0,3,0,1
38,4,1,2,0,0,0,0,0,24,1,59,5,-1,0,3,0,1
52,5,1,0,0,219,0,0,0,15,1,289,2,-1,0,3,0,1
58,4,1,2,0,10714,0,0,0,18,8,243,1,33,0,3,1,1
54,5,1,1,0,176,0,0,0,26,1,76,5,-1,0,3,0,1
46,8,0,1,0,333,0,0,2,8,8,189,1,-1,0,3,0,1
42,7,1,1,0,2470,0,0,0,8,6,284,1,181,2,2,1,1
49,10,1,2,0,1766,1,0,0,16,8,30,4,-1,0,3,0,1
33,5,1,2,0,988,0,0,2,13,9,642,1,-1,0,3,1,1
37,7,1,1,0,422,1,0,2,22,8,267,1,-1,0,3,0,1
52,5,1,2,0,9396,0,0,0,13,5,479,3,29,0,3,1,1
36,7,1,1,0,395,1,0,2,6,8,218,1,-1,0,3,0,1
32,9,0,2,0,1427,0,0,0,20,6,708,2,-1,0,3,1,1
40,7,1,1,0,113,0,0,2,20,8,333,1,-1,0,3,0,1
43,10,1,0,0,3343,0,0,0,8,10,265,1,22,0,3,1,1
45,0,1,1,0,113,1,0,0,22,5,67,3,-1,0,3,0,1
27,7,1,1,0,0,1,0,2,19,8,386,3,-1,0,3,0,1
34,9,2,1,0,0,0,0,0,18,1,598,3,-1,0,3,1,1
33,1,2,1,0,255,1,0,0,8,8,46,1,-1,0,3,0,1
43,4,1,2,0,-414,1,0,0,13,8,79,1,277,4,0,0,1
40,9,1,1,0,1144,1,0,0,14,8,170,3,-1,0,3,0,1
54,4,1,2,0,15,0,0,2,18,6,21,5,-1,0,3,0,1
37,9,2,1,0,309,0,0,0,27,1,61,2,-1,0,3,0,1
57,4,1,2,0,590,0,0,0,6,11,131,1,-1,0,3,0,1
37,0,1,1,0,0,0,0,0,11,5,39,1,-1,0,3,0,1
34,1,2,0,0,785,0,0,0,22,4,75,1,0,0,3,0,1
39,1,1,1,0,-11,0,0,2,18,8,337,2,-1,0,3,0,1
41,4,1,2,0,772,1,0,0,26,5,105,9,-1,0,3,0,1
29,9,2,1,0,873,1,0,0,8,9,221,1,23,1,3,0,1
38,7,1,1,0,171,1,0,1,17,8,43,3,-1,0,3,0,1
38,7,1,1,0,9491,1,0,0,19,9,113,5,-1,0,3,0,1
25,9,1,0,0,-127,1,0,0,16,8,392,1,-1,0,3,1,1
37,4,2,1,0,176,0,0,0,6,5,113,2,-1,0,3,1,1
33,1,1,1,0,938,1,0,0,28,6,91,5,-1,0,3,0,1
47,7,0,1,0,362,1,0,0,21,9,108,3,-1,0,3,0,1
28,1,2,1,0,209,1,0,0,8,0,170,1,-1,0,3,0,1
55,1,1,1,0,521,1,0,0,5,5,54,4,-1,0,3,0,1
32,4,2,1,0,4212,1,0,0,20,1,122,4,-1,0,3,0,1
53,0,1,1,0,759,0,0,0,21,8,177,1,-1,0,3,0,1
74,9,2,1,0,428,0,0,2,9,8,1008,1,-1,0,3,1,1
41,1,1,1,0,347,1,0,0,12,8,84,5,-1,0,3,0,1
60,4,1,2,0,6888,0,0,0,12,1,315,1,85,0,3,0,1
45,9,1,1,0,5977,1,0,2,19,8,262,1,-1,0,3,0,1
26,4,2,2,0,365,0,0,0,23,9,166,1,-1,0,3,0,1
50,4,2,2,0,155,0,0,0,8,5,97,2,-1,0,3,1,1
42,4,1,1,0,293,1,0,0,11,5,99,1,-1,0,3,0,1
23,8,2,1,0,303,0,0,0,22,3,219,1,-1,0,3,1,1
36,4,2,1,0,0,0,0,0,17,8,598,3,-1,0,3,1,1
26,6,1,1,0,324,0,0,0,2,1,381,1,-1,0,3,1,1
58,1,1,0,0,1110,0,0,0,14,8,178,1,180,3,0,0,1
81,9,1,2,0,1100,0,0,0,4,1,184,1,-1,0,3,1,1
34,4,1,1,0,565,0,0,0,20,1,130,2,-1,0,3,0,1
50,7,1,0,0,11,0,0,2,27,6,546,5,-1,0,3,0,1
38,7,2,2,0,105,1,1,2,16,8,258,3,-1,0,3,0,1
39,1,1,1,0,137,0,0,0,14,8,246,5,-1,0,3,0,1
30,9,2,1,0,102,0,0,0,20,8,314,1,-1,0,3,0,1
32,9,2,2,0,691,1,0,2,26,8,609,2,-1,0,3,1,1
26,4,2,2,0,173,0,0,0,13,6,128,1,-1,0,3,1,1
45,8,2,1,0,237,0,0,0,9,6,357,2,-1,0,3,1,1
36,9,1,2,0,657,1,0,0,15,8,268,2,-1,0,3,0,1
36,9,1,1,0,0,0,0,0,19,9,108,3,-1,0,3,0,1
37,9,1,2,0,44,0,0,0,21,1,124,4,-1,0,3,0,1
37,7,2,1,0,1514,1,0,0,20,7,159,2,120,3,1,0,1
50,0,1,1,0,3734,0,0,0,22,0,192,1,163,8,2,1,1
27,0,1,1,0,3665,1,0,0,14,0,154,1,348,4,0,0,1
28,4,2,2,0,796,1,0,0,6,0,96,9,-1,0,3,0,1
38,1,0,0,0,683,0,0,0,10,5,882,1,-1,0,3,1,1
55,0,2,1,0,9960,1,0,0,27,8,65,2,-1,0,3,0,1
44,4,1,2,0,1294,1,0,2,26,6,85,1,-1,0,3,0,1
41,9,1,1,0,1286,1,0,2,28,6,41,3,-1,0,3,0,1
39,9,2,1,0,1,0,0,0,23,1,195,4,-1,0,3,0,1
43,9,1,1,0,276,1,0,2,14,8,219,1,-1,0,3,0,1
52,1,1,0,0,2121,1,0,0,7,9,123,4,-1,0,3,0,1
43,2,1,1,0,190,1,0,0,10,8,58,2,354,4,0,0,1
44,9,1,1,0,118,0,0,0,20,1,387,8,-1,0,3,0,1
36,1,1,1,0,-5,1,0,0,9,0,507,1,148,3,1,1,1
49,1,1,1,0,386,1,0,0,18,8,722,3,343,2,0,1,1
48,0,2,1,0,10548,1,0,0,30,8,37,2,-1,0,3,0,1
56,1,1,1,0,306,1,0,0,8,8,211,1,-1,0,3,0,1
38,1,1,1,0,2963,0,0,0,4,8,399,3,141,1,3,1,1
54,0,1,1,0,0,1,0,2,11,8,159,2,-1,0,3,0,1
36,5,1,1,0,65,1,0,2,19,8,665,4,-1,0,3,1,1
36,4,1,2,0,45,1,0,0,19,5,257,2,130,1,2,1,1
56,1,1,1,0,2785,0,0,2,9,8,103,2,-1,0,3,0,1
50,1,1,1,0,819,0,0,0,15,9,462,2,-1,0,3,0,1
31,7,0,1,0,0,1,0,2,7,6,397,4,-1,0,3,0,1
36,1,1,1,0,858,1,0,2,19,6,294,14,-1,0,3,0,1
36,5,0,1,0,1645,0,0,0,21,10,766,1,67,0,3,1,1
44,4,1,2,0,6535,0,0,1,25,1,92,3,-1,0,3,0,1
27,9,1,1,0,-143,1,0,0,9,3,138,3,220,1,0,0,1
40,4,2,2,0,697,1,1,0,23,9,218,2,218,1,0,0,1
42,4,1,2,0,1204,0,0,0,7,1,374,1,-1,0,3,1,1
52,4,1,1,0,2981,1,0,2,18,6,86,1,-1,0,3,0,1
40,4,2,1,0,1473,0,0,0,6,6,286,1,29,0,3,1,1
40,4,1,0,0,3705,0,0,2,21,6,53,4,-1,0,3,0,1
41,4,1,2,0,774,1,0,0,26,4,105,10,-1,0,3,0,1
37,10,1,1,0,266,1,0,0,13,8,120,1,-1,0,3,0,1
48,1,1,1,0,1941,1,0,0,29,1,263,1,474,1,0,1,1
40,1,1,2,0,1323,1,0,0,13,5,176,1,-1,0,3,0,1
46,1,2,0,0,-718,1,0,0,28,8,972,2,-1,0,3,1,1
39,0,1,0,0,-296,1,0,0,15,8,525,1,-1,0,3,1,1
30,7,1,1,0,14,1,0,2,19,8,517,1,-1,0,3,0,1
58,5,1,1,0,761,1,0,0,19,0,362,2,-1,0,3,1,1
48,0,1,1,0,241,1,0,0,12,8,239,3,-1,0,3,0,1
32,1,1,1,0,209,0,0,2,10,6,31,2,-1,0,3,0,1
45,1,2,0,0,195,0,0,1,20,8,23,2,-1,0,3,0,1
28,5,1,1,0,252,0,0,0,22,3,437,1,52,0,3,1,1
52,4,2,2,0,1655,0,0,0,8,1,373,1,330,6,2,1,1
27,0,2,1,0,35,1,0,0,29,5,215,2,-1,0,3,0,1
48,0,1,1,0,3712,0,0,0,8,9,790,1,25,0,3,1,1
54,4,1,1,0,89,0,0,1,10,8,139,2,-1,0,3,0,1
34,7,1,2,0,303,1,0,0,11,0,284,1,-1,0,3,0,1
31,7,1,1,0,1292,0,0,0,16,0,310,5,149,4,2,1,1
50,4,1,1,0,259,1,0,2,18,8,137,1,-1,0,3,0,1
27,4,2,1,0,116,0,0,0,9,5,101,2,-1,0,3,1,1
43,9,1,1,0,414,1,0,0,14,9,7,6,-1,0,3,0,1
28,5,1,1,0,256,0,0,0,29,3,454,1,76,0,3,1,1
39,1,1,1,0,663,0,0,0,15,5,957,4,-1,0,3,1,1
35,4,1,2,0,5082,0,0,0,25,0,243,3,-1,0,3,1,1
31,0,1,1,0,293,1,0,0,11,8,139,2,-1,0,3,0,1
46,4,1,2,0,1145,0,0,0,4,8,380,1,74,2,2,1,1
33,4,1,1,0,564,0,0,0,20,1,131,2,-1,0,3,0,1
51,2,1,0,0,207,1,0,0,12,3,98,1,-1,0,3,0,1
49,9,1,1,0,6848,0,0,0,19,9,578,2,186,1,2,1,1
38,1,2,1,0,362,1,0,0,11,5,602,1,-1,0,3,0,1
41,4,1,2,0,5082,1,0,0,16,1,34,1,-1,0,3,0,1
28,1,2,1,0,101,0,0,0,18,5,312,1,-1,0,3,0,1
34,5,0,1,0,1417,0,0,0,16,6,456,1,-1,0,3,1,1
34,1,2,1,0,324,1,0,2,8,8,135,1,-1,0,3,0,1
31,4,1,1,0,-243,1,1,0,19,8,567,2,266,2,1,1,1
42,4,1,1,0,1103,1,0,0,22,8,1172,4,-1,0,3,0,1
44,4,1,2,0,1216,0,0,0,9,11,367,2,-1,0,3,1,1
41,9,1,1,0,0,1,0,0,13,11,99,1,-1,0,3,0,1
43,0,1,1,0,137,1,0,0,10,8,16,5,175,4,1,0,1
43,4,1,1,0,3514,1,0,0,9,1,194,3,-1,0,3,0,1
38,1,1,1,0,-1,0,0,2,26,8,23,1,-1,0,3,0,1
28,1,1,1,0,781,1,0,0,13,0,294,3,51,0,0,1,1
52,4,0,1,0,321,1,0,2,8,8,175,1,-1,0,3,0,1
36,1,1,2,0,351,1,0,0,16,8,393,1,317,1,0,0,1
48,9,1,1,0,198,0,0,0,11,0,221,1,35,2,3,1,1
28,9,2,1,0,363,0,0,0,13,1,332,2,-1,0,3,0,1
32,9,2,2,0,358,0,0,0,18,5,173,2,-1,0,3,0,1
33,1,1,1,0,585,0,0,0,18,9,153,1,-1,0,3,0,1
54,4,1,0,0,51,0,0,0,22,1,97,2,-1,0,3,0,1
47,9,1,2,0,9199,1,0,0,17,1,466,3,-1,0,3,0,1
47,0,1,2,0,0,1,0,0,8,8,82,1,168,2,0,0,1
42,4,1,0,0,1144,1,0,0,9,0,25,2,-1,0,3,0,1
29,7,1,1,0,450,0,0,0,21,4,474,2,71,2,2,1,1
46,1,1,0,0,516,1,0,1,6,1,45,3,-1,0,3,0,1
42,1,1,1,0,0,0,0,0,20,5,327,5,-1,0,3,0,1
31,10,2,1,0,1234,1,0,0,16,3,33,1,-1,0,3,0,1
60,0,1,2,0,2000,0,0,0,20,3,220,3,93,2,3,1,1
43,9,1,1,0,-336,1,0,2,15,8,225,4,-1,0,3,0,1
53,0,1,2,0,2208,0,0,0,12,3,105,1,89,1,3,1,1
26,0,2,1,0,801,0,0,0,29,8,76,1,1,1,3,0,1
50,9,1,1,0,5896,1,0,0,15,9,235,1,-1,0,3,0,1
31,9,1,1,0,-328,1,0,0,15,8,131,4,-1,0,3,0,1
31,4,2,1,0,87,0,0,0,14,8,152,1,-1,0,3,0,1
32,4,0,2,0,1,1,0,0,13,0,107,1,-1,0,3,1,1
53,0,1,1,0,2,1,0,0,15,5,143,1,-1,0,3,0,1
57,9,0,0,0,37,0,0,0,29,5,348,4,-1,0,3,0,1
42,4,1,2,0,0,0,0,0,26,1,61,3,-1,0,3,0,1
33,9,1,1,0,-129,1,0,0,16,5,147,1,-1,0,3,0,1
51,3,1,1,0,0,0,0,0,25,9,158,1,97,2,2,1,1
35,0,2,2,0,401,1,0,0,14,1,128,1,-1,0,3,0,1
39,0,1,1,0,2127,0,0,0,13,3,122,1,31,0,2,1,1
32,1,1,1,0,358,1,0,0,10,8,316,1,327,2,0,0,1
52,1,1,1,0,799,1,0,0,14,6,421,3,-1,0,3,0,1
29,4,1,1,0,1070,1,0,0,5,8,1130,3,-1,0,3,0,1
38,4,1,2,0,510,0,0,0,20,6,342,2,182,6,2,1,1
44,1,1,1,0,-70,1,0,2,12,8,251,2,-1,0,3,0,1
44,4,1,2,0,1148,1,0,0,28,5,105,1,-1,0,3,0,1
38,4,1,1,0,60,1,0,0,17,8,176,6,-1,0,3,0,1
36,9,1,2,0,16557,1,0,2,11,6,199,2,58,0,3,0,1
47,4,1,2,0,1276,1,0,2,11,8,251,2,-1,0,3,0,1
44,9,1,1,0,1137,1,0,0,5,0,332,1,259,6,0,0,1
42,4,1,2,0,1195,0,0,0,7,1,378,1,9,0,3,1,1
34,1,0,1,0,-21,0,0,0,5,3,170,1,94,10,2,1,1
37,8,0,1,0,8,1,0,0,22,0,90,2,-1,0,3,1,1
35,4,1,2,0,7,0,0,0,23,1,55,3,-1,0,3,0,1
31,1,1,1,0,620,1,0,0,26,8,1252,2,-1,0,3,1,1
38,9,1,3,0,3510,0,0,0,17,0,1121,1,-1,0,3,0,1
32,9,2,1,0,0,0,0,0,21,1,125,2,-1,0,3,0,1
34,1,1,1,0,112,1,0,2,7,8,482,5,-1,0,3,1,1
33,7,2,1,0,0,1,0,0,6,8,173,3,-1,0,3,0,1
39,4,2,2,0,5011,0,0,0,13,7,283,1,-1,0,3,1,1
39,1,2,1,0,342,0,0,0,29,5,391,2,-1,0,3,0,1
42,7,1,2,0,451,0,0,0,16,0,484,2,94,2,3,1,1
40,6,0,1,0,361,1,0,2,21,6,111,4,-1,0,3,0,1
47,0,1,1,0,1917,0,0,0,14,5,281,2,18,0,3,0,1
46,4,1,2,0,573,0,0,0,7,8,348,1,-1,0,3,0,1
34,4,1,2,0,782,1,0,0,27,0,95,2,-1,0,3,0,1
35,8,0,1,0,0,1,0,0,27,0,166,1,-1,0,3,1,1
67,5,2,2,0,421,0,0,0,9,9,229,1,90,1,3,1,1
30,4,1,2,0,6220,0,0,2,14,9,153,4,-1,0,3,0,1
39,4,2,1,0,262,0,0,0,23,0,567,1,-1,0,3,1,1
34,1,1,0,0,-303,1,0,0,24,9,130,2,-1,0,3,0,1
36,1,1,1,0,2490,1,0,0,23,8,263,1,20,1,3,0,1
25,1,1,1,0,121,1,0,2,14,5,50,1,-1,0,3,0,1
47,1,1,0,0,1869,1,0,2,17,6,41,2,-1,0,3,0,1
68,4,1,2,0,1314,0,0,0,16,6,399,5,-1,0,3,1,1
45,4,0,1,0,549,0,0,0,12,1,1181,3,0,0,3,1,1
28,4,2,2,0,194,0,0,0,6,6,130,2,-1,0,3,1,1
52,1,2,1,0,2946,0,0,0,19,1,310,1,-1,0,3,0,1
33,4,2,2,0,1238,0,0,0,18,5,89,1,-1,0,3,0,1
36,9,1,1,0,148,1,0,0,14,8,299,3,-1,0,3,0,1
39,9,1,1,0,395,1,0,0,14,1,130,2,-1,0,3,0,1
39,6,1,1,0,594,1,0,0,17,0,52,1,193,2,0,0,1
39,4,1,2,0,47,1,0,0,14,9,311,4,20,0,1,0,1
41,9,1,2,0,146,0,0,0,20,1,94,1,-1,0,3,0,1
36,4,2,2,0,767,1,0,0,18,8,605,1,-1,0,3,1,1
34,1,1,1,0,0,0,0,2,16,8,332,2,-1,0,3,0,1
37,1,2,1,0,13674,1,0,2,10,6,129,1,85,5,3,0,1
28,1,2,1,0,304,1,0,0,14,6,516,1,-1,0,3,0,1
37,4,1,2,0,539,0,0,0,24,2,324,2,166,6,2,1,1
43,5,1,2,0,1270,1,0,2,13,5,195,2,-1,0,3,0,1
34,4,1,1,0,2382,0,0,0,15,9,694,4,-1,0,3,1,1
45,9,1,1,0,185,1,0,0,28,5,248,2,-1,0,3,0,1
42,0,1,1,0,0,0,0,0,25,4,72,1,259,1,0,0,1
37,10,1,1,0,-129,1,0,0,13,8,142,1,-1,0,3,0,1
33,0,1,1,0,-187,1,0,2,24,8,170,2,-1,0,3,0,1
45,1,1,2,0,2523,1,0,0,18,8,256,2,124,8,3,0,1
32,1,1,1,0,243,1,0,2,23,8,194,3,-1,0,3,0,1
37,9,1,1,0,486,1,0,2,26,8,93,10,-1,0,3,0,1
36,6,1,2,0,571,1,0,0,9,9,53,1,156,1,0,0,1
33,0,1,2,0,630,0,0,0,20,5,215,8,-1,0,3,0,1
50,4,1,1,0,73,0,0,1,7,3,141,1,-1,0,3,0,1
29,7,2,1,0,13,1,0,0,15,8,115,4,368,5,0,0,1
35,7,1,1,0,237,1,0,2,18,8,996,4,-1,0,3,1,1
27,1,0,1,0,2570,1,0,0,5,8,617,1,18,0,0,0,1
35,4,1,1,0,588,1,0,0,7,8,230,2,-1,0,3,0,1
48,7,2,1,0,11356,1,0,0,25,8,133,1,-1,0,3,0,1
35,9,1,2,0,3643,0,0,0,20,1,822,2,-1,0,3,1,1
56,1,1,1,0,1622,0,0,1,19,6,107,1,-1,0,3,0,1
30,4,1,1,0,6260,1,1,0,24,8,547,1,-1,0,3,0,1
38,9,2,0,0,818,1,0,0,11,0,181,5,310,2,0,0,1
39,2,1,2,0,1115,1,0,0,7,0,363,1,269,5,0,0,1
45,0,1,1,0,302,1,0,0,25,5,96,1,-1,0,3,0,1
43,4,1,2,0,2088,0,0,0,27,1,33,12,-1,0,3,0,1
31,9,1,1,0,6,1,0,2,13,8,101,6,-1,0,3,0,1
72,1,1,2,0,458,1,0,2,8,8,130,2,-1,0,3,0,1
31,7,1,1,0,398,1,0,2,6,8,221,1,-1,0,3,0,1
41,0,1,2,0,2505,0,0,2,21,6,42,3,-1,0,3,0,1
39,4,0,2,0,2841,0,0,2,26,8,373,6,-1,0,3,0,1
46,0,1,1,0,2546,1,0,0,20,0,93,1,168,1,3,0,1
53,10,1,0,0,266,0,1,0,12,5,656,3,-1,0,3,0,1
50,1,1,1,0,-948,1,0,0,5,8,576,1,-1,0,3,1,1
29,4,2,2,0,362,0,0,0,20,9,165,1,-1,0,3,0,1
28,8,2,1,0,154,0,0,0,21,5,195,2,-1,0,3,0,1
52,4,0,2,0,2,1,0,0,13,0,79,1,-1,0,3,1,1
55,4,1,2,0,140,1,0,2,16,8,15,8,-1,0,3,0,1
33,0,1,1,0,0,1,0,0,5,8,65,1,168,3,0,0,1
51,1,1,1,0,255,1,0,0,5,8,485,2,-1,0,3,0,1
32,4,2,2,0,519,1,0,2,9,6,127,1,-1,0,3,0,1
35,1,1,1,0,-355,1,0,2,19,8,38,3,-1,0,3,0,1
36,1,1,1,0,-652,1,0,2,15,8,253,1,-1,0,3,0,1
40,9,1,1,0,7701,1,0,0,14,9,417,4,-1,0,3,0,1
43,5,1,1,0,2895,0,0,0,3,1,299,1,-1,0,3,1,1
30,9,1,1,0,1015,1,0,0,25,8,247,1,-1,0,3,0,1
48,6,1,2,0,132,0,0,0,19,1,267,2,-1,0,3,0,1
31,1,1,1,0,406,0,0,0,9,5,716,2,-1,0,3,0,1
34,4,2,1,0,30,1,0,0,9,8,759,3,-1,0,3,0,1
39,1,1,1,0,772,0,0,2,14,8,173,3,-1,0,3,0,1
50,1,1,1,0,-111,1,0,2,28,8,144,1,-1,0,3,0,1
44,4,1,1,0,293,1,0,0,5,1,160,1,-1,0,3,0,1
28,8,2,1,0,2516,0,0,0,15,3,465,1,10,0,2,1,1
33,4,1,2,0,1157,1,0,0,19,0,25,1,-1,0,3,0,1
43,4,1,1,0,2104,0,0,0,7,9,97,2,-1,0,3,0,1
52,4,1,2,0,145,0,0,0,26,1,150,1,-1,0,3,0,1
47,4,1,2,0,-2,0,0,0,25,1,202,2,-1,0,3,0,1
33,1,1,0,0,434,0,0,0,10,5,765,7,-1,0,3,1,1
26,9,1,1,0,1423,1,0,0,15,8,519,1,-1,0,3,0,1
54,7,1,1,0,-40,0,1,0,23,1,88,3,-1,0,3,0,1
32,4,1,1,0,1900,1,0,0,2,1,193,1,-1,0,3,0,1
