existingchecking,duration,credithistory,purpose,creditamount,savings,employmentsince,installmentrate,statussex,otherdebtors,residencesince,property,age,otherinstallmentplans,housing,existingcredits,job,peopleliable,telephone,foreignworker,classification,datasetType
A12,31,A34,A43,3825,A61,A72,3,A93,A101,2,A122,27,A143,A152,1,A172,0,A191,A201,2,DatasetType.Deployment
A14,33,A34,A46,4484,A61,A73,1,A93,A101,2,A124,30,A141,A153,1,A173,0,A192,A201,1,DatasetType.Deployment
A13,18,A32,A43,2548,A61,A73,3,A93,A102,2,A121,33,A142,A152,1,A173,0,A191,A201,2,DatasetType.Deployment
A13,14,A32,A44,2125,A61,A73,2,A93,A101,2,A123,33,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,14,A32,A43,1755,A61,A73,3,A93,A101,2,A121,27,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,24,A32,A43,2660,A63,A75,3,A93,A101,2,A123,30,A141,A152,1,A174,0,A191,A201,1,DatasetType.Deployment
A12,15,A32,A43,2093,A63,A73,2,A91,A101,1,A123,28,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,18,A33,A45,4529,A61,A73,2,A93,A101,3,A121,36,A143,A152,1,A172,1,A192,A201,1,DatasetType.Deployment
A11,24,A34,A41,4521,A62,A74,1,A94,A101,3,A123,27,A143,A151,1,A173,0,A191,A201,1,DatasetType.Deployment
A11,33,A34,A41,4500,A61,A75,3,A92,A101,3,A124,43,A142,A153,1,A172,0,A191,A201,2,DatasetType.Deployment
A14,15,A34,A40,2206,A61,A72,3,A92,A101,3,A123,32,A143,A152,1,A174,0,A191,A201,1,DatasetType.Deployment
A14,27,A32,A43,2644,A63,A75,3,A93,A101,3,A123,34,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A11,12,A32,A41,2186,A63,A71,1,A92,A101,2,A122,26,A143,A151,1,A171,0,A192,A201,1,DatasetType.Deployment
A14,15,A34,A40,5024,A61,A73,1,A93,A101,3,A122,34,A143,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A14,15,A32,A43,2535,A62,A73,3,A92,A102,2,A121,29,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A12,21,A33,A42,2660,A65,A72,3,A93,A101,2,A122,29,A141,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A12,22,A33,A41,4414,A61,A75,1,A93,A101,2,A123,30,A143,A152,1,A174,0,A192,A201,1,DatasetType.Deployment
A14,15,A32,A43,2143,A61,A73,2,A93,A101,2,A123,27,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,18,A32,A41,3165,A65,A73,2,A93,A101,1,A122,30,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,27,A33,A40,2608,A61,A75,3,A93,A101,3,A124,43,A141,A153,1,A173,0,A192,A201,2,DatasetType.Deployment
A14,12,A31,A40,1912,A65,A73,1,A93,A103,2,A121,28,A142,A152,1,A172,1,A191,A201,1,DatasetType.Deployment
A12,15,A32,A43,4657,A65,A71,2,A93,A101,1,A124,40,A143,A152,1,A174,0,A192,A201,2,DatasetType.Deployment
A14,27,A34,A43,6152,A61,A73,2,A92,A101,2,A123,30,A142,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A13,18,A32,A40,2481,A61,A75,2,A92,A101,2,A123,26,A143,A152,1,A174,0,A191,A201,1,DatasetType.Deployment
A11,27,A34,A42,4541,A61,A72,3,A92,A102,3,A124,26,A143,A151,1,A172,0,A192,A201,2,DatasetType.Deployment
A12,14,A32,A49,2205,A61,A73,2,A94,A101,1,A121,28,A141,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,17,A34,A43,2276,A65,A75,3,A93,A103,3,A121,39,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,27,A30,A49,2477,A61,A75,3,A93,A101,3,A124,45,A143,A153,1,A174,0,A192,A201,2,DatasetType.Deployment
A12,33,A30,A49,8497,A61,A73,2,A93,A101,2,A123,27,A143,A152,1,A173,0,A192,A201,2,DatasetType.Deployment
A14,21,A32,A43,3070,A61,A72,3,A92,A101,3,A122,28,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A14,22,A32,A45,4040,A65,A75,3,A93,A101,3,A122,38,A143,A152,2,A173,1,A192,A201,1,DatasetType.Deployment
A14,15,A32,A43,2582,A61,A72,2,A92,A101,2,A123,29,A141,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A12,15,A32,A40,2020,A64,A73,3,A94,A101,1,A121,26,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,27,A32,A46,2412,A61,A73,3,A93,A101,3,A124,33,A142,A153,1,A173,0,A192,A201,2,DatasetType.Deployment
A14,27,A32,A43,2690,A65,A73,3,A92,A101,3,A123,27,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,27,A32,A41,5461,A61,A73,1,A92,A101,2,A122,30,A141,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,13,A34,A43,1886,A65,A75,3,A93,A101,2,A122,37,A143,A151,1,A172,0,A192,A201,1,DatasetType.Deployment
A11,13,A34,A410,2096,A61,A75,2,A93,A101,3,A124,40,A141,A153,1,A174,1,A192,A201,1,DatasetType.Deployment
A12,30,A34,A49,4408,A61,A74,2,A92,A101,1,A121,35,A141,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A11,27,A32,A46,2488,A65,A75,3,A93,A101,3,A124,35,A143,A152,1,A174,0,A192,A201,2,DatasetType.Deployment
A11,15,A34,A41,2270,A61,A75,3,A93,A101,3,A124,47,A143,A153,1,A174,0,A191,A201,1,DatasetType.Deployment
A11,30,A32,A43,3448,A61,A72,3,A93,A101,2,A123,32,A143,A152,1,A173,0,A191,A201,2,DatasetType.Deployment
A12,15,A33,A43,3837,A61,A74,2,A93,A101,3,A122,40,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,35,A30,A41,6090,A65,A73,2,A93,A101,2,A122,34,A143,A152,1,A172,1,A191,A201,1,DatasetType.Deployment
A12,24,A32,A42,3384,A61,A72,2,A94,A101,1,A122,26,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,21,A32,A43,4403,A65,A72,1,A92,A101,1,A123,36,A143,A152,1,A173,0,A192,A201,2,DatasetType.Deployment
A14,17,A32,A43,2119,A63,A75,3,A93,A101,2,A122,38,A142,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A14,18,A32,A49,2291,A62,A73,2,A92,A101,3,A122,27,A143,A151,1,A172,0,A191,A201,1,DatasetType.Deployment
A11,21,A32,A410,2381,A61,A75,3,A92,A103,3,A121,43,A143,A152,1,A172,0,A192,A201,1,DatasetType.Deployment
A11,14,A32,A43,2651,A61,A75,2,A93,A101,3,A121,40,A143,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A14,15,A34,A49,2215,A61,A73,3,A92,A103,2,A121,29,A143,A152,1,A174,0,A192,A201,1,DatasetType.Deployment
A12,18,A34,A42,2159,A61,A72,3,A92,A101,1,A122,28,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A12,27,A32,A46,7623,A62,A73,1,A93,A101,3,A124,38,A143,A153,1,A173,1,A192,A201,2,DatasetType.Deployment
A11,18,A32,A40,2620,A62,A74,3,A93,A101,2,A123,30,A143,A152,1,A174,1,A192,A201,1,DatasetType.Deployment
A11,15,A30,A45,2069,A61,A74,3,A93,A101,2,A121,29,A143,A152,1,A173,0,A191,A201,2,DatasetType.Deployment
A14,15,A34,A43,1832,A61,A75,3,A93,A101,3,A121,42,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A11,15,A34,A41,2214,A61,A75,3,A93,A101,2,A121,41,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,15,A34,A43,1919,A65,A75,3,A92,A101,2,A122,31,A141,A152,1,A172,1,A191,A201,2,DatasetType.Deployment
A13,21,A34,A42,3280,A65,A75,3,A93,A102,3,A124,25,A143,A151,1,A173,0,A191,A201,1,DatasetType.Deployment
A12,15,A32,A40,2170,A64,A75,3,A93,A101,3,A121,41,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,35,A30,A49,9232,A61,A72,2,A93,A101,3,A124,43,A143,A151,1,A173,0,A192,A201,2,DatasetType.Deployment
A14,15,A34,A46,2505,A65,A74,3,A92,A101,2,A123,45,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A12,18,A32,A49,2800,A62,A73,3,A93,A101,3,A123,32,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A12,27,A34,A43,2662,A61,A75,3,A93,A101,3,A121,33,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A12,19,A33,A41,4941,A65,A74,2,A93,A101,3,A122,33,A141,A151,1,A174,1,A192,A201,1,DatasetType.Deployment
A14,21,A32,A40,2243,A62,A75,3,A94,A101,3,A121,35,A143,A151,1,A172,0,A191,A201,1,DatasetType.Deployment
A12,27,A32,A43,2655,A61,A74,3,A93,A101,3,A123,27,A143,A151,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,12,A33,A43,1984,A61,A73,2,A92,A101,2,A121,27,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A12,14,A34,A42,2460,A61,A74,3,A93,A101,2,A123,32,A143,A151,1,A173,0,A192,A201,1,DatasetType.Deployment
A14,15,A32,A41,2714,A65,A72,2,A94,A101,3,A123,28,A143,A151,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,21,A34,A410,7298,A61,A73,2,A93,A102,2,A123,34,A143,A152,1,A174,1,A192,A201,2,DatasetType.Deployment
A14,18,A31,A40,4652,A61,A75,2,A93,A101,3,A124,34,A141,A152,1,A174,1,A192,A201,2,DatasetType.Deployment
A12,15,A32,A40,4468,A61,A74,2,A93,A101,2,A123,31,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A11,21,A32,A42,5262,A65,A72,1,A92,A101,2,A122,30,A143,A152,1,A173,0,A192,A202,1,DatasetType.Deployment
A12,16,A32,A49,2214,A63,A75,1,A94,A101,2,A121,32,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,12,A33,A49,2233,A62,A75,1,A91,A101,2,A123,30,A141,A152,1,A173,1,A191,A201,1,DatasetType.Deployment
A13,17,A32,A46,1723,A61,A72,3,A92,A101,3,A122,26,A143,A151,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,18,A32,A40,4556,A61,A74,2,A93,A101,2,A121,29,A143,A151,1,A172,0,A191,A201,1,DatasetType.Deployment
A14,27,A34,A40,5326,A61,A73,3,A92,A101,2,A121,27,A142,A152,1,A173,0,A192,A201,2,DatasetType.Deployment
A11,15,A32,A43,2345,A63,A75,2,A94,A101,1,A121,32,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,33,A34,A43,3261,A65,A75,3,A93,A101,1,A121,38,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A11,30,A32,A43,4998,A65,A74,3,A92,A101,2,A123,30,A143,A152,1,A174,0,A192,A201,2,DatasetType.Deployment
A11,14,A34,A42,2563,A65,A72,2,A92,A102,2,A121,28,A143,A151,1,A173,0,A191,A202,1,DatasetType.Deployment
A11,25,A34,A42,3601,A63,A73,1,A92,A101,3,A123,26,A143,A152,1,A173,0,A191,A201,2,DatasetType.Deployment
A12,15,A34,A40,2676,A63,A74,2,A91,A101,2,A123,33,A143,A152,1,A174,0,A192,A201,1,DatasetType.Deployment
A11,20,A32,A43,2420,A61,A73,2,A92,A101,2,A121,27,A143,A152,1,A173,0,A192,A201,2,DatasetType.Deployment
A14,21,A34,A41,3401,A61,A75,3,A92,A101,2,A123,35,A143,A151,1,A174,0,A192,A201,1,DatasetType.Deployment
A14,15,A32,A42,2387,A61,A73,2,A93,A101,2,A121,27,A143,A151,1,A172,0,A191,A201,1,DatasetType.Deployment
A13,14,A34,A40,1911,A61,A75,3,A93,A101,3,A124,46,A143,A153,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,18,A32,A42,2463,A65,A72,3,A92,A101,2,A121,28,A143,A151,1,A173,0,A191,A201,2,DatasetType.Deployment
A11,15,A34,A40,2558,A61,A73,3,A93,A101,2,A122,30,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A11,15,A32,A43,1872,A61,A73,3,A94,A101,2,A121,35,A143,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A12,15,A32,A45,1842,A61,A73,3,A93,A101,2,A123,30,A143,A152,1,A173,0,A191,A201,2,DatasetType.Deployment
A12,15,A34,A41,2432,A61,A71,3,A93,A101,2,A123,32,A143,A152,1,A174,0,A192,A201,1,DatasetType.Deployment
A11,15,A34,A40,3223,A61,A73,2,A92,A102,2,A121,29,A143,A152,1,A173,0,A191,A201,2,DatasetType.Deployment
A12,33,A32,A40,5631,A65,A74,1,A92,A101,2,A123,27,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A11,27,A33,A46,4859,A61,A73,3,A93,A101,2,A122,29,A142,A152,1,A173,0,A192,A201,2,DatasetType.Deployment
A14,17,A32,A42,2841,A61,A72,2,A93,A101,2,A122,28,A141,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A14,18,A32,A42,2492,A61,A73,3,A93,A101,3,A124,38,A141,A153,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,38,A32,A43,6432,A62,A74,2,A92,A101,3,A121,25,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A14,15,A34,A43,2132,A65,A75,3,A92,A101,2,A121,34,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A14,22,A33,A41,5692,A64,A73,2,A93,A101,2,A123,28,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A12,15,A32,A43,1904,A63,A73,3,A93,A101,2,A121,47,A143,A152,1,A172,0,A191,A201,2,DatasetType.Deployment
A12,17,A34,A43,2851,A65,A74,3,A93,A103,2,A121,32,A141,A152,2,A173,0,A192,A201,1,DatasetType.Deployment
A13,15,A32,A43,2442,A61,A73,2,A92,A101,2,A123,36,A143,A151,1,A172,0,A192,A201,1,DatasetType.Deployment
A13,12,A32,A40,1876,A64,A72,2,A94,A101,2,A121,28,A143,A152,1,A171,0,A191,A202,1,DatasetType.Deployment
A12,27,A32,A43,3849,A61,A72,3,A92,A101,1,A124,30,A143,A152,1,A174,0,A192,A201,1,DatasetType.Deployment
A11,22,A32,A43,3183,A61,A73,2,A93,A101,2,A123,28,A143,A152,1,A174,0,A191,A201,1,DatasetType.Deployment
A11,18,A32,A42,2722,A61,A73,2,A93,A101,2,A123,26,A143,A152,1,A173,0,A191,A201,2,DatasetType.Deployment
A14,20,A34,A42,2638,A61,A72,3,A92,A101,3,A122,26,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,33,A31,A49,3255,A62,A74,3,A93,A101,2,A123,30,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A11,12,A34,A40,1949,A61,A75,1,A92,A101,3,A124,34,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A14,15,A34,A40,1863,A62,A74,3,A92,A101,2,A123,40,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A11,27,A34,A42,4127,A61,A73,2,A93,A103,2,A122,29,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,18,A34,A43,2298,A64,A75,3,A93,A101,3,A123,37,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,12,A32,A43,2184,A62,A75,2,A93,A101,3,A124,36,A141,A153,1,A173,1,A192,A201,1,DatasetType.Deployment
A14,14,A32,A43,2463,A61,A73,1,A93,A101,3,A122,34,A143,A152,1,A173,0,A192,A202,1,DatasetType.Deployment
A13,27,A32,A43,4357,A61,A73,3,A93,A101,1,A123,27,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A12,21,A34,A41,5280,A64,A75,2,A92,A101,3,A124,29,A143,A151,1,A173,0,A191,A201,1,DatasetType.Deployment
A12,21,A33,A49,4898,A62,A74,3,A93,A101,3,A123,33,A143,A151,1,A174,0,A192,A201,1,DatasetType.Deployment
A11,15,A32,A42,2153,A61,A73,2,A92,A101,3,A123,25,A143,A151,1,A173,0,A191,A201,2,DatasetType.Deployment
A11,14,A34,A45,2156,A62,A75,2,A93,A103,3,A121,38,A143,A152,1,A173,1,A191,A202,1,DatasetType.Deployment
A11,15,A31,A48,1697,A61,A75,3,A94,A101,1,A123,37,A141,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A12,21,A32,A40,3229,A62,A74,2,A93,A101,2,A123,34,A141,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A14,12,A34,A43,2450,A65,A73,1,A93,A101,2,A121,32,A143,A152,1,A172,1,A191,A201,1,DatasetType.Deployment
A14,21,A34,A43,2920,A62,A75,2,A93,A101,3,A121,33,A143,A152,1,A173,1,A192,A201,1,DatasetType.Deployment
A14,18,A34,A40,2043,A61,A72,3,A92,A101,1,A122,30,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,17,A32,A44,2143,A63,A74,3,A93,A101,2,A122,33,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,14,A32,A40,5062,A61,A71,2,A93,A101,3,A124,49,A141,A153,1,A174,0,A192,A201,1,DatasetType.Deployment
A14,27,A32,A40,1973,A63,A75,3,A93,A101,3,A122,33,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,12,A32,A42,2972,A63,A73,1,A93,A101,2,A123,31,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A11,18,A32,A42,2080,A61,A71,3,A92,A101,2,A123,31,A143,A152,1,A173,0,A191,A201,2,DatasetType.Deployment
A12,15,A32,A42,2295,A64,A72,3,A92,A101,1,A121,25,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,21,A32,A42,3452,A61,A74,2,A92,A101,3,A122,27,A143,A151,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,21,A34,A49,2468,A61,A75,3,A91,A101,3,A121,30,A143,A152,1,A173,0,A192,A201,2,DatasetType.Deployment
A11,17,A30,A40,1992,A61,A75,3,A93,A101,2,A123,31,A143,A151,1,A173,1,A191,A201,2,DatasetType.Deployment
A14,15,A32,A42,1902,A61,A73,3,A92,A101,1,A121,28,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,21,A33,A42,2530,A61,A71,2,A92,A101,2,A122,32,A143,A152,1,A174,0,A192,A201,2,DatasetType.Deployment
A12,13,A32,A43,2216,A61,A73,3,A93,A103,2,A121,31,A143,A152,1,A173,0,A191,A202,1,DatasetType.Deployment
A11,20,A33,A46,3182,A61,A72,2,A93,A101,1,A122,28,A143,A152,1,A173,0,A191,A201,2,DatasetType.Deployment
A14,24,A31,A41,5148,A65,A71,3,A92,A101,1,A121,41,A141,A152,1,A174,0,A192,A201,2,DatasetType.Deployment
A11,15,A32,A42,2778,A61,A73,2,A91,A101,1,A123,36,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A11,12,A34,A43,1697,A63,A75,3,A93,A101,3,A123,40,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,15,A32,A43,2481,A61,A74,3,A93,A101,2,A123,30,A143,A151,1,A174,1,A192,A201,1,DatasetType.Deployment
A11,20,A34,A40,1809,A61,A75,3,A93,A101,3,A121,47,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,27,A33,A49,6155,A61,A72,1,A91,A101,1,A123,29,A143,A152,1,A173,0,A191,A201,2,DatasetType.Deployment
A12,27,A33,A49,3685,A61,A73,2,A91,A101,2,A121,30,A142,A152,1,A174,0,A192,A201,2,DatasetType.Deployment
A11,20,A31,A40,2329,A65,A73,3,A93,A101,2,A122,35,A143,A152,1,A172,1,A191,A201,2,DatasetType.Deployment
A14,21,A34,A42,3357,A64,A73,3,A93,A101,3,A121,39,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,18,A34,A40,1961,A61,A75,3,A93,A101,3,A123,33,A141,A152,1,A173,1,A192,A201,2,DatasetType.Deployment
A14,17,A34,A43,2190,A61,A73,3,A93,A101,2,A122,30,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A12,14,A31,A41,4010,A61,A75,2,A92,A101,3,A124,51,A141,A153,1,A174,1,A192,A201,2,DatasetType.Deployment
A12,17,A34,A40,2101,A61,A71,2,A93,A101,2,A123,48,A143,A153,2,A171,0,A192,A201,1,DatasetType.Deployment
A11,15,A32,A43,1859,A62,A74,3,A94,A101,1,A122,25,A143,A152,1,A173,0,A191,A201,2,DatasetType.Deployment
A12,18,A30,A42,3100,A61,A73,1,A92,A101,3,A123,31,A141,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A14,21,A32,A49,3750,A64,A73,2,A93,A101,2,A122,41,A143,A152,2,A174,0,A192,A201,2,DatasetType.Deployment
A12,33,A30,A49,3390,A62,A74,3,A93,A101,3,A124,32,A143,A153,1,A172,1,A191,A201,2,DatasetType.Deployment
A12,22,A32,A49,3424,A61,A73,3,A93,A101,2,A123,33,A143,A152,1,A173,1,A192,A201,2,DatasetType.Deployment
A14,12,A32,A43,2552,A61,A74,2,A94,A101,2,A121,29,A143,A151,1,A173,0,A191,A201,1,DatasetType.Deployment
A12,31,A32,A43,2997,A62,A73,3,A93,A103,3,A122,25,A143,A151,1,A173,0,A191,A201,2,DatasetType.Deployment
A12,14,A34,A46,2258,A61,A75,2,A92,A101,2,A123,32,A143,A152,1,A174,0,A192,A201,2,DatasetType.Deployment
A14,12,A34,A43,2201,A61,A73,1,A92,A101,1,A123,29,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,15,A32,A42,1993,A62,A72,3,A92,A101,3,A123,28,A141,A151,2,A173,0,A191,A201,2,DatasetType.Deployment
A12,21,A32,A41,2866,A65,A75,3,A93,A101,3,A124,33,A141,A153,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,18,A33,A42,3608,A61,A75,3,A91,A101,2,A124,35,A143,A152,1,A174,0,A192,A201,2,DatasetType.Deployment
A14,14,A34,A46,1986,A63,A75,3,A93,A101,2,A123,40,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A11,15,A32,A40,2098,A61,A73,3,A94,A101,2,A121,28,A143,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A14,22,A33,A49,4004,A61,A74,2,A93,A101,3,A123,28,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A11,15,A32,A48,1969,A61,A74,3,A94,A101,3,A122,25,A143,A151,1,A173,0,A191,A201,2,DatasetType.Deployment
A14,15,A34,A40,2256,A61,A75,3,A93,A101,1,A121,34,A143,A152,1,A172,1,A191,A201,1,DatasetType.Deployment
