age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
,admin.,,,no,105.0,,yes,cellular,,aug,74.0,,-1,,,no
68.0,retired,divorced,secondary,,,no,no,telephone,14.0,,897.0,2.0,-1,,,yes
,technician,married,,,,no,no,cellular,27.0,,,3.0,-1,,unknown,no
59.0,management,,,,42.0,no,no,,,,,1.0,-1,,,no
,management,single,tertiary,,2536.0,,no,,,,958.0,,-1,,unknown,yes
,technician,married,tertiary,,1235.0,,,cellular,13.0,aug,354.0,3.0,-1,,unknown,yes
,admin.,divorced,secondary,no,1811.0,yes,no,unknown,,may,150.0,1.0,-1,0.0,unknown,no
,retired,divorced,primary,no,,,no,telephone,,,97.0,1.0,-1,0.0,,yes
32.0,blue-collar,married,,,,yes,no,,14.0,nov,,1.0,-1,0.0,,yes
,management,,,no,,yes,,cellular,6.0,,765.0,1.0,342,2.0,failure,yes
23.0,services,,,no,,yes,,unknown,30.0,,16.0,,-1,,,no
38.0,management,,tertiary,no,11971.0,yes,no,unknown,,nov,,2.0,101,3.0,failure,no
36.0,management,,,no,,,no,cellular,11.0,aug,106.0,2.0,-1,,unknown,no
,blue-collar,married,,no,1117.0,yes,,,13.0,,365.0,1.0,-1,,,no
32.0,technician,married,tertiary,no,396.0,,no,cellular,13.0,may,,3.0,-1,,unknown,no
32.0,technician,single,,no,2204.0,yes,,,21.0,nov,11.0,4.0,-1,0.0,unknown,no
34.0,management,single,tertiary,no,872.0,yes,no,,7.0,,105.0,2.0,-1,,unknown,no
55.0,blue-collar,,,,,no,no,,2.0,feb,59.0,,5,2.0,other,no
26.0,blue-collar,,,,,yes,no,unknown,,may,,1.0,-1,,unknown,no
,entrepreneur,single,primary,,,yes,yes,cellular,,feb,204.0,1.0,-1,0.0,unknown,no
,admin.,,unknown,no,4629.0,yes,no,cellular,,,181.0,,92,,success,yes
45.0,blue-collar,divorced,primary,no,844.0,,,unknown,,jun,1018.0,3.0,-1,,,yes
37.0,technician,,secondary,,228.0,,no,cellular,20.0,aug,,2.0,-1,,,no
,technician,,secondary,no,,no,no,,29.0,aug,98.0,2.0,-1,0.0,unknown,no
,technician,,tertiary,no,1539.0,yes,,cellular,,jun,,1.0,56,,,yes
53.0,blue-collar,,secondary,,2231.0,yes,,cellular,14.0,,272.0,,-1,0.0,unknown,no
,admin.,married,,,3064.0,yes,no,,15.0,jul,159.0,2.0,-1,0.0,unknown,no
57.0,management,married,secondary,no,82.0,no,,telephone,4.0,feb,140.0,1.0,-1,,unknown,no
,self-employed,single,tertiary,,2155.0,,no,cellular,,nov,295.0,,-1,0.0,,no
36.0,retired,,,no,,yes,,,,,,,-1,0.0,,no
,technician,divorced,secondary,no,784.0,,yes,,15.0,may,,1.0,-1,0.0,unknown,no
,blue-collar,,primary,,,no,yes,,,jul,554.0,3.0,-1,,,no
63.0,retired,,secondary,no,415.0,,,cellular,7.0,,323.0,,-1,0.0,unknown,no
,management,,tertiary,no,5887.0,no,no,cellular,13.0,,,2.0,-1,0.0,unknown,no
,services,married,secondary,no,,no,,cellular,,jul,,,-1,,,no
56.0,admin.,,,no,16873.0,no,no,cellular,7.0,oct,,,-1,0.0,unknown,no
51.0,blue-collar,divorced,,,203.0,yes,no,cellular,,,134.0,,170,5.0,,no
31.0,services,,secondary,no,338.0,yes,no,,28.0,,,1.0,-1,0.0,unknown,no
29.0,technician,married,secondary,,444.0,,no,cellular,,jul,,4.0,-1,,unknown,no
41.0,management,married,,,,,yes,cellular,,,,,-1,0.0,unknown,no
,technician,single,,,360.0,,no,cellular,,,,2.0,-1,,unknown,no
37.0,management,,,,0.0,no,no,cellular,16.0,jul,,2.0,182,3.0,success,yes
42.0,entrepreneur,divorced,tertiary,yes,2.0,,no,unknown,,,380.0,1.0,-1,0.0,unknown,no
31.0,management,single,tertiary,,6248.0,yes,,,,may,,,-1,0.0,unknown,no
,services,,tertiary,,412.0,yes,,,,jun,154.0,5.0,-1,0.0,unknown,no
,retired,,,no,,,,unknown,15.0,may,,1.0,-1,,,no
,management,divorced,tertiary,,,no,no,,14.0,,67.0,2.0,-1,,unknown,no
,blue-collar,,,no,,yes,no,cellular,,,367.0,,297,1.0,other,no
,technician,single,,no,,no,yes,cellular,14.0,,87.0,6.0,-1,0.0,,no
50.0,blue-collar,divorced,primary,no,388.0,no,,,5.0,feb,701.0,1.0,-1,,,no
40.0,unemployed,,,no,219.0,yes,,cellular,17.0,,,,196,1.0,failure,no
,admin.,,secondary,no,451.0,yes,no,,,,,,-1,0.0,unknown,yes
,retired,married,,,5.0,,,,26.0,,63.0,,-1,,,no
28.0,admin.,,secondary,no,177.0,yes,,,6.0,may,,,-1,0.0,,no
52.0,services,,secondary,,657.0,no,no,,7.0,jul,,2.0,460,,failure,yes
37.0,management,,,no,1315.0,,no,,,jun,,,-1,0.0,,yes
51.0,blue-collar,,primary,,,yes,no,,,,406.0,,-1,,unknown,no
41.0,technician,,,,879.0,no,,,7.0,jul,60.0,,-1,0.0,unknown,no
35.0,blue-collar,,,no,,,no,unknown,,,521.0,2.0,-1,,,no
38.0,admin.,married,secondary,,424.0,yes,no,cellular,17.0,apr,279.0,1.0,-1,0.0,unknown,no
,blue-collar,married,secondary,no,1831.0,,no,unknown,,,203.0,,-1,,unknown,no
,blue-collar,,,no,111.0,no,no,cellular,18.0,,201.0,,-1,0.0,unknown,no
,blue-collar,,,,455.0,yes,no,,,,372.0,3.0,-1,,unknown,no
,services,single,secondary,,-195.0,,no,,18.0,may,391.0,1.0,-1,,unknown,yes
32.0,management,single,tertiary,no,,,no,cellular,14.0,aug,,2.0,-1,0.0,,no
,blue-collar,,secondary,no,,,no,cellular,11.0,aug,,5.0,-1,,unknown,no
41.0,unknown,,,no,1567.0,,no,cellular,,,,,-1,0.0,,no
41.0,admin.,,,no,5426.0,yes,,unknown,14.0,,149.0,2.0,-1,,unknown,no
30.0,admin.,single,,no,261.0,,no,,,oct,,1.0,137,20.0,failure,no
36.0,blue-collar,divorced,,,2843.0,no,no,cellular,12.0,,,1.0,182,1.0,success,no
31.0,unemployed,single,primary,no,,no,no,cellular,,,736.0,1.0,-1,,unknown,yes
36.0,blue-collar,married,secondary,no,,,no,unknown,6.0,may,337.0,,-1,,unknown,no
,management,single,tertiary,,493.0,,,cellular,11.0,may,553.0,1.0,367,,failure,no
49.0,technician,married,,no,5996.0,no,no,telephone,21.0,,,2.0,-1,0.0,unknown,no
,services,single,primary,,,yes,no,,13.0,may,65.0,,-1,0.0,unknown,no
,management,,,,524.0,no,,unknown,13.0,aug,,,-1,0.0,,no
32.0,management,single,tertiary,,574.0,,no,cellular,,apr,259.0,,145,3.0,,no
37.0,blue-collar,married,secondary,no,427.0,yes,,unknown,9.0,jun,371.0,,-1,0.0,,no
33.0,self-employed,married,tertiary,no,,,no,cellular,,,280.0,,-1,0.0,,no
56.0,unemployed,married,primary,no,,no,no,cellular,21.0,apr,243.0,,-1,,,yes
27.0,housemaid,married,primary,,0.0,,no,,23.0,,435.0,,-1,0.0,,no
,student,,secondary,no,2488.0,no,no,cellular,,jun,,,169,3.0,success,yes
58.0,management,married,,no,,,no,telephone,29.0,,7.0,5.0,-1,0.0,unknown,no
32.0,self-employed,married,secondary,,217.0,,yes,cellular,15.0,jul,317.0,,-1,0.0,unknown,no
,blue-collar,single,,no,,no,no,cellular,30.0,jan,76.0,,207,1.0,failure,no
25.0,student,single,,no,,no,,,26.0,aug,,,-1,0.0,unknown,yes
25.0,technician,single,secondary,no,505.0,,,,,nov,,2.0,-1,0.0,unknown,yes
30.0,services,married,secondary,no,1808.0,yes,,,18.0,may,,2.0,-1,0.0,unknown,no
22.0,admin.,single,secondary,,,,yes,cellular,19.0,aug,65.0,1.0,-1,,unknown,no
,blue-collar,,,,,,no,cellular,13.0,,69.0,1.0,-1,0.0,unknown,no
46.0,management,divorced,tertiary,no,,,no,unknown,17.0,jun,564.0,,-1,0.0,unknown,no
,admin.,,,,,,no,,21.0,,,,-1,0.0,unknown,no
,blue-collar,married,primary,no,,,no,cellular,18.0,aug,,4.0,-1,,unknown,no
,technician,,secondary,no,2693.0,yes,no,,21.0,,16.0,1.0,-1,0.0,unknown,no
36.0,blue-collar,,secondary,no,,no,,,,jul,779.0,2.0,-1,0.0,,no
51.0,management,single,,yes,,yes,no,cellular,11.0,may,281.0,2.0,266,6.0,failure,no
34.0,self-employed,single,tertiary,no,,no,,cellular,21.0,,,3.0,-1,0.0,,yes
24.0,unemployed,single,,no,119.0,no,,,15.0,sep,51.0,,-1,,,no
,technician,single,secondary,no,,no,yes,,28.0,,,3.0,-1,0.0,unknown,no
32.0,blue-collar,single,secondary,,,,no,telephone,5.0,,,1.0,288,3.0,,no
77.0,retired,divorced,tertiary,no,4659.0,,no,cellular,,apr,161.0,,-1,0.0,unknown,yes
,blue-collar,married,primary,,,,,,,nov,187.0,3.0,-1,0.0,,no
37.0,blue-collar,,,no,,,,unknown,26.0,,24.0,,-1,0.0,,no
43.0,blue-collar,married,unknown,yes,-715.0,yes,no,unknown,30.0,,,,-1,0.0,unknown,no
48.0,admin.,married,unknown,no,0.0,yes,no,cellular,,may,85.0,1.0,168,,failure,no
,technician,,,,769.0,,no,unknown,,may,317.0,2.0,-1,0.0,unknown,no
,management,single,tertiary,no,,,no,cellular,28.0,,236.0,10.0,-1,0.0,unknown,no
29.0,admin.,,,,428.0,,yes,cellular,,,54.0,1.0,345,,failure,no
34.0,management,,tertiary,no,0.0,no,no,,,,71.0,1.0,-1,0.0,unknown,no
52.0,management,married,tertiary,no,,yes,,,,feb,489.0,,-1,0.0,unknown,yes
,management,married,unknown,,6313.0,no,no,unknown,19.0,,39.0,2.0,-1,,,no
,management,divorced,tertiary,no,,,no,cellular,12.0,aug,204.0,,-1,0.0,,no
32.0,management,,,no,0.0,yes,,cellular,22.0,,455.0,,-1,0.0,,no
56.0,services,divorced,unknown,no,,yes,no,,,may,86.0,,-1,0.0,unknown,no
31.0,management,,,no,874.0,yes,no,cellular,,nov,190.0,,-1,,unknown,no
42.0,admin.,,secondary,,323.0,,yes,,,,280.0,2.0,-1,0.0,unknown,no
35.0,management,married,,,106.0,no,yes,cellular,11.0,aug,588.0,,-1,,unknown,no
,retired,married,,,,,yes,unknown,19.0,,45.0,,-1,0.0,unknown,no
48.0,technician,married,secondary,no,1152.0,yes,no,cellular,21.0,,,5.0,-1,0.0,unknown,no
,admin.,married,,no,179.0,,no,cellular,29.0,,194.0,4.0,436,,other,no
37.0,technician,single,,,391.0,yes,no,unknown,,,103.0,3.0,-1,,,no
41.0,entrepreneur,married,unknown,no,,yes,no,unknown,,,333.0,2.0,-1,,,no
,management,single,tertiary,no,442.0,,,cellular,29.0,jul,102.0,3.0,-1,0.0,unknown,no
45.0,unemployed,divorced,,yes,-249.0,yes,yes,,1.0,,92.0,,-1,0.0,,no
,entrepreneur,,secondary,no,,no,no,,6.0,,,2.0,-1,0.0,unknown,no
,technician,,,no,501.0,no,no,,,may,289.0,1.0,-1,,unknown,no
35.0,technician,,secondary,no,,no,,cellular,22.0,aug,77.0,,-1,0.0,unknown,no
,admin.,,secondary,no,602.0,no,no,,,,324.0,,90,2.0,success,yes
,technician,married,,no,,,,cellular,29.0,jan,84.0,3.0,183,,failure,no
27.0,self-employed,single,,,50.0,no,no,cellular,,,,,-1,0.0,,no
34.0,technician,married,secondary,no,1641.0,yes,no,cellular,,apr,380.0,1.0,-1,0.0,unknown,no
34.0,blue-collar,,tertiary,,,no,,,,oct,10.0,1.0,-1,,unknown,no
,admin.,single,secondary,no,,yes,no,unknown,28.0,may,,2.0,-1,0.0,,no
41.0,admin.,single,secondary,no,-256.0,no,yes,,,,35.0,,-1,,unknown,no
43.0,services,,,no,978.0,yes,,unknown,26.0,may,82.0,,-1,0.0,,no
28.0,management,single,,,80.0,,,cellular,,oct,,,146,,failure,yes
31.0,admin.,single,secondary,,2104.0,yes,no,,3.0,jun,455.0,,-1,,unknown,no
78.0,housemaid,married,,no,499.0,,no,telephone,,mar,,4.0,-1,,unknown,no
,blue-collar,,secondary,,1269.0,yes,,cellular,29.0,,,2.0,-1,0.0,,no
,technician,married,tertiary,,,no,no,unknown,6.0,may,,1.0,-1,,,no
32.0,blue-collar,,,no,1143.0,,yes,cellular,10.0,jul,412.0,1.0,-1,,,no
42.0,technician,,secondary,,2980.0,no,,,,jun,101.0,,-1,,unknown,no
37.0,management,single,,no,,no,,cellular,28.0,jan,,,-1,,unknown,no
40.0,admin.,single,,,462.0,yes,yes,,6.0,apr,,1.0,335,4.0,,no
32.0,admin.,,secondary,no,,yes,no,cellular,17.0,jul,84.0,,-1,,,no
42.0,management,married,tertiary,no,9009.0,,no,cellular,20.0,nov,135.0,2.0,-1,,,no
,admin.,,secondary,,-465.0,yes,yes,cellular,23.0,jul,166.0,1.0,-1,,unknown,no
,admin.,,secondary,no,5181.0,yes,yes,cellular,,,18.0,7.0,-1,0.0,,no
37.0,admin.,married,,no,176.0,,,,5.0,may,147.0,,347,1.0,,no
37.0,unknown,,,no,1699.0,,no,,9.0,jun,,1.0,-1,0.0,unknown,no
,admin.,,,,0.0,,,cellular,17.0,,65.0,2.0,119,1.0,failure,no
,technician,,,no,172.0,,yes,,2.0,feb,,,-1,0.0,unknown,no
32.0,services,,secondary,no,0.0,no,yes,,11.0,jul,,2.0,-1,0.0,,no
,admin.,single,secondary,,6979.0,yes,,cellular,15.0,may,14.0,,-1,0.0,unknown,no
,admin.,divorced,secondary,no,6.0,no,no,,11.0,jun,140.0,,-1,0.0,,no
34.0,services,married,secondary,,-62.0,yes,no,unknown,,,109.0,,-1,,unknown,no
,self-employed,married,,no,1972.0,,,,23.0,jul,,2.0,-1,0.0,unknown,no
34.0,admin.,married,tertiary,no,,yes,,,19.0,nov,377.0,,7,4.0,,no
37.0,services,,,no,,yes,no,cellular,2.0,feb,96.0,,271,2.0,other,no
,technician,married,secondary,no,,yes,,cellular,,may,152.0,,347,1.0,,no
56.0,retired,married,secondary,no,-1206.0,yes,no,cellular,15.0,jun,382.0,2.0,-1,0.0,unknown,yes
49.0,blue-collar,married,,,0.0,yes,yes,,23.0,jul,,6.0,-1,0.0,unknown,no
,self-employed,married,,,,yes,no,cellular,,jul,543.0,,-1,0.0,,no
,management,single,tertiary,no,,no,no,,20.0,,240.0,2.0,-1,0.0,unknown,no
36.0,services,married,secondary,,,,no,unknown,17.0,,,,-1,,,no
23.0,student,,secondary,no,,,no,,,,,2.0,-1,,,no
,retired,,,,39.0,,,cellular,30.0,,354.0,,-1,,unknown,no
,blue-collar,single,secondary,no,5563.0,yes,no,unknown,30.0,may,435.0,,-1,0.0,,no
,services,married,secondary,no,1.0,no,yes,cellular,21.0,,,,-1,0.0,unknown,no
42.0,technician,,tertiary,,,,no,,3.0,,,1.0,-1,,unknown,no
75.0,retired,married,secondary,,,,no,,15.0,apr,185.0,,181,2.0,success,yes
,technician,single,tertiary,,992.0,,,,4.0,,301.0,,88,2.0,success,no
,technician,married,secondary,,1526.0,,,cellular,6.0,aug,273.0,,-1,0.0,unknown,no
35.0,technician,single,tertiary,no,2658.0,,no,cellular,19.0,aug,768.0,2.0,141,3.0,failure,yes
39.0,management,,tertiary,no,1315.0,,,cellular,,nov,,,126,1.0,failure,no
29.0,blue-collar,single,tertiary,,,no,no,telephone,21.0,,403.0,,-1,0.0,unknown,yes
,technician,,tertiary,no,0.0,yes,,cellular,18.0,nov,,,-1,0.0,unknown,no
42.0,technician,,,,2030.0,yes,,cellular,9.0,jul,,1.0,-1,,unknown,no
29.0,technician,married,secondary,no,1599.0,yes,no,,8.0,,,1.0,61,1.0,,no
,services,,,no,,,no,,,feb,60.0,1.0,271,1.0,,no
,retired,married,,,1333.0,no,,cellular,28.0,aug,17.0,14.0,-1,0.0,,no
,technician,,,,,yes,no,,,aug,141.0,3.0,-1,,,no
,blue-collar,,,,,yes,no,unknown,,,,3.0,-1,0.0,unknown,no
38.0,technician,,tertiary,,432.0,yes,no,cellular,15.0,,10.0,,373,,,no
,self-employed,,secondary,,,no,no,,19.0,nov,,1.0,-1,,unknown,no
,management,,tertiary,,,,no,,12.0,aug,220.0,4.0,-1,,unknown,no
,management,married,tertiary,no,,,no,cellular,,,654.0,2.0,-1,,unknown,yes
45.0,technician,married,secondary,no,1410.0,no,no,,11.0,aug,71.0,2.0,-1,0.0,unknown,no
,blue-collar,married,secondary,no,975.0,,,cellular,13.0,,256.0,2.0,351,2.0,failure,no
49.0,blue-collar,,,no,,yes,,telephone,,jul,,,-1,,unknown,no
,services,married,secondary,no,400.0,,,,,,151.0,,-1,0.0,unknown,no
53.0,retired,,tertiary,no,-22.0,,no,cellular,,,20.0,,-1,0.0,,no
37.0,technician,married,secondary,no,4030.0,,no,unknown,26.0,may,178.0,5.0,-1,0.0,,no
49.0,blue-collar,married,,no,365.0,no,no,unknown,26.0,may,59.0,2.0,-1,0.0,unknown,no
,self-employed,married,,,204.0,no,no,,,,111.0,7.0,-1,,unknown,no
54.0,management,married,primary,no,1691.0,yes,no,,,nov,186.0,1.0,-1,0.0,unknown,no
32.0,services,single,,,406.0,yes,,,6.0,may,227.0,,-1,,,no
,technician,,secondary,,-204.0,no,no,cellular,15.0,,297.0,3.0,-1,0.0,,no
33.0,technician,married,secondary,no,359.0,yes,no,,20.0,,,1.0,242,,other,no
,blue-collar,married,primary,no,123.0,,no,cellular,18.0,,9.0,1.0,-1,,,no
35.0,technician,married,tertiary,,,,yes,cellular,23.0,sep,112.0,,62,6.0,other,no
,unknown,married,,no,142.0,no,no,cellular,,aug,112.0,6.0,-1,0.0,unknown,no
40.0,entrepreneur,married,tertiary,no,,no,no,,,,,3.0,-1,0.0,unknown,no
,technician,single,secondary,no,,yes,no,cellular,,may,195.0,,351,,failure,no
45.0,blue-collar,,secondary,no,0.0,yes,,,26.0,,,2.0,91,5.0,,no
,student,single,,no,,,no,cellular,,jan,123.0,,-1,0.0,,no
48.0,technician,divorced,,yes,,no,no,cellular,27.0,aug,,3.0,-1,0.0,,no
33.0,blue-collar,,,no,3576.0,yes,no,cellular,,,,1.0,308,2.0,,no
57.0,technician,married,unknown,no,206.0,yes,no,unknown,5.0,may,216.0,,-1,,unknown,no
,housemaid,married,,no,,,,,6.0,jun,,3.0,-1,,,no
51.0,unemployed,married,tertiary,no,,yes,no,cellular,22.0,jul,168.0,,-1,0.0,unknown,no
34.0,admin.,,secondary,no,1.0,yes,no,cellular,22.0,,483.0,,-1,0.0,,no
,self-employed,,tertiary,,4012.0,no,,cellular,19.0,nov,690.0,3.0,-1,,,no
,management,,tertiary,,3762.0,no,,cellular,,aug,125.0,12.0,-1,0.0,unknown,no
,admin.,married,secondary,no,-247.0,,yes,unknown,,jun,344.0,,-1,0.0,unknown,no
,blue-collar,,secondary,no,,,,unknown,,may,673.0,,-1,,unknown,no
,management,married,,no,,,no,cellular,28.0,,,1.0,250,,other,no
,management,married,secondary,no,-189.0,yes,no,unknown,,may,247.0,,-1,0.0,,no
,unemployed,single,secondary,,0.0,,,,27.0,may,123.0,2.0,-1,0.0,unknown,no
,management,married,tertiary,,,yes,no,,,jul,144.0,2.0,-1,0.0,unknown,no
43.0,technician,married,secondary,,,,,cellular,8.0,may,9.0,2.0,172,5.0,,no
,management,married,tertiary,no,395.0,yes,no,,9.0,feb,155.0,3.0,-1,0.0,unknown,no
32.0,management,married,,no,2349.0,no,,cellular,14.0,aug,,5.0,-1,0.0,unknown,no
55.0,blue-collar,divorced,primary,no,,no,yes,cellular,11.0,jul,,2.0,-1,0.0,unknown,no
58.0,retired,married,primary,,,yes,no,cellular,3.0,feb,,,265,2.0,failure,no
46.0,blue-collar,married,,,222.0,,no,cellular,8.0,aug,71.0,2.0,-1,,,no
,blue-collar,married,secondary,,989.0,,yes,unknown,23.0,,246.0,4.0,-1,,,no
34.0,management,,,no,415.0,,yes,cellular,23.0,jul,361.0,2.0,-1,,,no
28.0,unemployed,single,,no,16.0,no,no,,12.0,aug,,4.0,-1,,unknown,no
42.0,technician,,,no,,,,cellular,,,375.0,2.0,-1,0.0,,no
29.0,blue-collar,,,,482.0,no,,,,,1097.0,3.0,-1,,,yes
54.0,housemaid,,secondary,no,,,yes,,25.0,jul,97.0,,-1,0.0,unknown,no
,technician,single,secondary,,0.0,,no,cellular,26.0,aug,181.0,,-1,0.0,unknown,no
,technician,single,tertiary,no,5803.0,no,no,,2.0,feb,83.0,,-1,0.0,unknown,no
53.0,entrepreneur,married,tertiary,,624.0,no,,cellular,,jul,180.0,4.0,-1,0.0,unknown,no
58.0,technician,,tertiary,no,,no,,cellular,,aug,,,78,,,no
,self-employed,,secondary,no,,yes,,unknown,,,,1.0,-1,0.0,unknown,no
29.0,student,,secondary,no,872.0,,,unknown,7.0,may,230.0,1.0,-1,,unknown,no
,technician,married,tertiary,no,-988.0,,yes,cellular,15.0,jul,83.0,3.0,-1,0.0,unknown,no
,admin.,,secondary,,902.0,yes,no,,31.0,jul,,13.0,-1,,unknown,no
56.0,services,,secondary,,1007.0,,no,cellular,,,88.0,6.0,-1,0.0,unknown,no
,services,,,,0.0,yes,no,cellular,2.0,,297.0,1.0,28,,failure,no
,blue-collar,,secondary,,,yes,yes,,18.0,may,,,-1,0.0,unknown,yes
46.0,management,,secondary,no,12186.0,no,no,,20.0,jun,29.0,,-1,0.0,unknown,no
35.0,self-employed,married,,no,,yes,no,,,nov,484.0,4.0,-1,,unknown,no
35.0,blue-collar,,tertiary,,0.0,,no,cellular,,jul,262.0,4.0,-1,0.0,,no
,technician,married,,no,4.0,,,,15.0,may,644.0,,-1,0.0,,no
35.0,housemaid,married,tertiary,no,,,no,,12.0,aug,699.0,2.0,79,1.0,,no
,technician,,,no,,no,no,cellular,28.0,aug,247.0,2.0,-1,,,no
,blue-collar,,primary,,5776.0,no,no,cellular,18.0,,49.0,3.0,-1,0.0,,no
,blue-collar,divorced,primary,,,,no,cellular,13.0,,341.0,,-1,,unknown,no
59.0,self-employed,,tertiary,no,593.0,,,unknown,13.0,may,,2.0,-1,0.0,unknown,no
,blue-collar,married,,no,,yes,no,cellular,,apr,,1.0,-1,0.0,,no
37.0,blue-collar,,secondary,no,3561.0,,no,unknown,,,,,-1,,unknown,no
42.0,admin.,divorced,secondary,no,63.0,no,no,unknown,16.0,may,,,-1,,unknown,no
,student,married,secondary,no,,,no,,20.0,,,,-1,0.0,unknown,no
,technician,single,tertiary,no,,yes,,unknown,9.0,may,331.0,,-1,0.0,,no
47.0,admin.,married,secondary,no,1060.0,yes,,unknown,6.0,jun,83.0,3.0,-1,0.0,unknown,no
27.0,self-employed,married,,no,-220.0,yes,no,unknown,26.0,,138.0,,-1,,,no
41.0,management,,,no,49.0,,no,,17.0,,312.0,,-1,0.0,,no
34.0,admin.,,tertiary,,,no,,cellular,4.0,,,3.0,1,6.0,success,yes
50.0,blue-collar,married,primary,no,4108.0,yes,no,cellular,,aug,526.0,,-1,0.0,unknown,yes
47.0,blue-collar,,,,480.0,yes,no,unknown,28.0,may,,2.0,-1,,,no
,services,,secondary,no,,,no,cellular,,aug,,6.0,-1,0.0,unknown,no
53.0,technician,divorced,secondary,no,0.0,,yes,cellular,15.0,jul,135.0,5.0,-1,0.0,,no
47.0,management,,tertiary,no,3681.0,no,,,14.0,aug,,2.0,-1,,unknown,no
,entrepreneur,divorced,unknown,yes,-701.0,,,cellular,30.0,jul,,2.0,-1,0.0,unknown,yes
29.0,management,married,,,451.0,no,,,28.0,jan,,,-1,,,no
,blue-collar,divorced,,,,,no,unknown,,may,1030.0,1.0,-1,,,yes
38.0,entrepreneur,married,,no,,yes,yes,cellular,,jul,,24.0,-1,0.0,unknown,yes
32.0,blue-collar,,,no,759.0,,no,,9.0,apr,317.0,5.0,-1,,,yes
70.0,retired,,primary,no,,no,,,18.0,may,445.0,,-1,0.0,unknown,no
,retired,divorced,,no,1840.0,no,no,,1.0,,383.0,2.0,188,,,no
,blue-collar,,secondary,,345.0,yes,no,telephone,22.0,jul,,1.0,-1,,unknown,no
35.0,blue-collar,married,,,,yes,no,cellular,14.0,jul,,,-1,0.0,unknown,no
,management,married,,no,353.0,,yes,cellular,25.0,,171.0,,-1,0.0,,no
,technician,married,secondary,no,205.0,no,,cellular,23.0,jul,442.0,2.0,-1,,,no
49.0,entrepreneur,,secondary,no,687.0,yes,no,,17.0,apr,,,-1,0.0,,yes
38.0,unemployed,married,,no,,yes,yes,,8.0,may,249.0,,-1,,unknown,no
,management,married,,no,,yes,no,,,may,357.0,1.0,-1,,unknown,no
,admin.,,,,605.0,,no,cellular,,nov,147.0,2.0,-1,,unknown,no
,blue-collar,,,,8545.0,,yes,,6.0,may,,7.0,167,1.0,failure,no
55.0,management,married,unknown,no,559.0,no,no,,,,,2.0,-1,0.0,unknown,no
43.0,blue-collar,single,,no,2.0,yes,no,cellular,,jul,,3.0,-1,,unknown,no
,management,married,tertiary,,2.0,no,yes,,,,,2.0,-1,0.0,unknown,no
25.0,admin.,single,tertiary,,,,no,cellular,27.0,,223.0,,89,2.0,failure,yes
30.0,blue-collar,married,,no,1317.0,,no,,21.0,,,2.0,-1,0.0,,no
,blue-collar,married,secondary,,,,no,cellular,4.0,,56.0,,-1,0.0,,no
